"","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted"
"2018-12-20",1018.13,1034.22,996.36,1009.41,2.6735,1009.41
"2018-12-21",1015.3,1024.02,973.69,979.54,4.596,979.54
"2018-12-24",973.9,1003.54,970.11,976.22,1.5903,976.22
"2018-12-26",989.01,1040,983,1039.46,2.3733,1039.46
"2018-12-27",1017.15,1043.89,997,1043.88,2.1098,1043.88
"2018-12-28",1049.62,1055.56,1033.1,1037.08,1.4148,1037.08
"2018-12-31",1050.96,1052.7,1023.59,1035.61,1.4933,1035.61
"2019-01-02",1016.57,1052.32,1015.71,1045.85,1.5326,1045.85
"2019-01-03",1041,1056.98,1014.07,1016.06,1.8306,1016.06
"2019-01-04",1032.59,1070.84,1027.42,1070.71,2.0939,1070.71
"2019-01-07",1071.5,1074,1054.76,1068.39,1.9819,1068.39
"2019-01-08",1076.11,1084.56,1060.53,1076.28,1.7649,1076.28
"2019-01-09",1081.65,1082.63,1066.4,1074.66,1.1993,1074.66
"2019-01-10",1067.66,1071.15,1057.71,1070.33,1.4564,1070.33
"2019-01-11",1063.18,1063.78,1048.48,1057.19,1.5208,1057.19
"2019-01-14",1046.92,1051.53,1041.26,1044.69,1.1443,1044.69
"2019-01-15",1050.17,1080.05,1047.34,1077.15,1.4636,1077.15
"2019-01-16",1080,1092.38,1079.34,1080.97,1.3318,1080.97
"2019-01-17",1079.47,1091.8,1073.5,1089.9,1.2427,1089.9
"2019-01-18",1100,1108.35,1090.9,1098.26,1.9556,1098.26
"2019-01-22",1088,1091.51,1063.47,1070.52,1.6135,1070.52
"2019-01-23",1077.35,1084.93,1059.75,1075.57,0.967,1075.57
"2019-01-24",1076.48,1079.47,1060.7,1073.9,1.3613,1073.9
"2019-01-25",1085,1094,1081.82,1090.99,1.1191,1090.99
"2019-01-28",1080.11,1083,1063.8,1070.08,1.2843,1070.08
"2019-01-29",1072.68,1075.15,1055.86,1060.62,1.0218,1060.62
"2019-01-30",1068.43,1091,1066.85,1089.06,1.2798,1089.06
"2019-01-31",1103,1117.33,1095.41,1116.37,1.5383,1116.37
"2019-02-01",1112.4,1125,1104.89,1110.75,1.4622,1110.75
"2019-02-04",1112.66,1132.8,1109.02,1132.8,2.5765,1132.8
"2019-02-05",1124.84,1146.85,1117.25,1145.99,3.5522,1145.99
"2019-02-06",1139.57,1147,1112.77,1115.23,2.1056,1115.23
"2019-02-07",1104.16,1104.84,1086,1098.71,2.0448,1098.71
"2019-02-08",1087,1098.91,1086.55,1095.06,1.0758,1095.06
"2019-02-11",1096.95,1105.94,1092.86,1095.01,1.0652,1095.01
"2019-02-12",1106.8,1125.3,1105.85,1121.37,1.6091,1121.37
"2019-02-13",1124.99,1134.73,1118.5,1120.16,1.0498,1120.16
"2019-02-14",1118.05,1128.23,1110.44,1121.67,0.9476,1121.67
"2019-02-15",1130.08,1131.67,1110.65,1113.65,1.4498,1113.65
"2019-02-19",1110,1121.89,1110,1118.56,1.0464,1118.56
"2019-02-20",1119.99,1123.41,1105.28,1113.8,1.0878,1113.8
"2019-02-21",1110.84,1111.94,1092.52,1096.97,1.4151,1096.97
"2019-02-22",1100.9,1111.24,1095.6,1110.37,1.0495,1110.37
"2019-02-25",1116,1118.54,1107.27,1109.4,1.4131,1109.4
"2019-02-26",1105.75,1119.51,1099.92,1115.13,1.4713,1115.13
"2019-02-27",1106.95,1117.98,1101,1116.05,0.9684,1116.05
"2019-02-28",1111.3,1127.65,1111.01,1119.92,1.5425,1119.92
"2019-03-01",1124.9,1142.97,1124.75,1140.99,1.4503,1140.99
"2019-03-04",1146.99,1158.28,1130.69,1147.8,1.446,1147.8
"2019-03-05",1150.06,1169.61,1146.19,1162.03,1.4432,1162.03
"2019-03-06",1162.49,1167.57,1155.49,1157.86,1.0993,1157.86
"2019-03-07",1155.72,1156.76,1134.91,1143.3,1.1661,1143.3
"2019-03-08",1126.73,1147.08,1123.3,1142.32,1.2124,1142.32
"2019-03-11",1144.45,1176.19,1144.45,1175.76,1.7192,1175.76
"2019-03-12",1178.26,1200,1178.26,1193.2,2.0131,1193.2
"2019-03-13",1200.65,1200.93,1191.94,1193.32,1.4359,1193.32
"2019-03-14",1194.51,1197.88,1184.48,1185.55,1.1728,1185.55
"2019-03-15",1193.38,1196.57,1182.61,1184.46,2.4618,1184.46
"2019-03-18",1183.3,1190,1177.42,1184.26,1.2926,1184.26
"2019-03-19",1188.81,1200,1185.87,1198.85,1.5207,1198.85
"2019-03-20",1197.35,1227.14,1196.17,1223.97,2.2274,1223.97
"2019-03-21",1216,1231.79,1213.15,1231.54,1.204,1231.54
"2019-03-22",1226.32,1230,1202.82,1205.5,1.7142,1205.5
"2019-03-25",1196.93,1206.4,1187.04,1193,1.4968,1193
"2019-03-26",1198.53,1202.83,1176.72,1184.62,1.9012,1184.62
"2019-03-27",1185.5,1187.56,1159.37,1173.02,1.4002,1173.02
"2019-03-28",1171.54,1171.56,1159.43,1168.49,1.0124,1168.49
"2019-03-29",1174.9,1178.99,1162.88,1173.31,1.2699,1173.31
"2019-04-01",1184.1,1196.66,1182,1194.43,1.2525,1194.43
"2019-04-02",1195.32,1201.35,1185.71,1200.49,0.8279,1200.49
"2019-04-03",1207.48,1216.3,1200.5,1205.92,1.0178,1205.92
"2019-04-04",1205.94,1215.67,1204.13,1215,0.95,1215
"2019-04-05",1214.99,1216.22,1205.03,1207.15,0.9072,1207.15
"2019-04-08",1207.89,1208.69,1199.86,1203.84,0.8602,1203.84
"2019-04-09",1196,1202.29,1193.08,1197.25,0.8764,1197.25
"2019-04-10",1200.68,1203.79,1196.44,1202.16,0.7246,1202.16
"2019-04-11",1203.96,1207.96,1200.13,1204.62,0.7102,1204.62
"2019-04-12",1210,1218.35,1208.11,1217.87,0.9334,1217.87
"2019-04-15",1218,1224.2,1209.11,1221.1,1.1874,1221.1
"2019-04-16",1225,1230.82,1220.12,1227.13,0.8563,1227.13
"2019-04-17",1233,1240.56,1227.82,1236.34,1.2219,1236.34
"2019-04-18",1239.18,1242,1234.61,1236.37,1.3318,1236.37
"2019-04-22",1235.99,1249.09,1228.31,1248.84,0.8073,1248.84
"2019-04-23",1250.69,1269,1246.38,1264.55,1.3199,1264.55
"2019-04-24",1264.12,1268.01,1255,1256,1.0188,1256
"2019-04-25",1264.77,1267.41,1252.03,1263.45,1.1073,1263.45
"2019-04-26",1269,1273.07,1260.32,1272.18,1.2414,1272.18
"2019-04-29",1274,1289.27,1266.3,1287.58,2.4994,1287.58
"2019-04-30",1185,1192.81,1175,1188.48,6.207,1188.48
"2019-05-01",1188.05,1188.05,1167.18,1168.08,2.6392,1168.08
