"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"2018-11-13",204.4,209.59,202.33,205.05,6.9848,204.22
"2018-11-14",206.24,207.34,198.44,202.49,5.7425,201.67
"2018-11-15",201.8,204.5,199.32,203.74,4.26,202.92
"2018-11-16",202.93,204.74,200.35,202.12,2.8296,201.3
"2018-11-19",201.83,202.3,197.35,198.22,3.4191,197.42
"2018-11-20",195.1,195.89,190.35,191.34,5.5138,190.57
"2018-11-21",192.09,195.24,191.19,192.6,4.1117,191.82
"2018-11-23",191.61,191.87,188.94,189.1,1.8626,188.34
"2018-11-26",191.17,195.23,190.69,194.34,3.1433,193.56
"2018-11-27",193.4,194.62,191.56,193.65,2.3454,192.87
"2018-11-28",194.84,198.45,192.23,198.35,3.7629,197.55
"2018-11-29",196.02,197.45,193.16,194.85,2.6657,194.85
"2018-11-30",190.57,191.45,188.12,190.69,6.22,190.69
"2018-12-03",194,195.66,191.62,191.63,4.017,191.63
"2018-12-04",190.69,191.11,183.63,184.31,5.7975,184.31
"2018-12-06",181.33,184.88,180.15,184.09,5.2755,184.09
"2018-12-07",183.85,186.25,179,179.67,3.9212,179.67
"2018-12-10",178.6,179.84,174.68,178.83,4.5283,178.83
"2018-12-11",182.15,184.43,175.45,176.8,4.7139,176.8
"2018-12-12",178.5,180,176.48,176.7,3.6773,176.7
"2018-12-13",177.83,178.69,175.12,175.92,4.0086,175.92
"2018-12-14",174.34,176.26,172.37,172.77,5.0783,172.77
"2018-12-17",169.4,171.43,166.53,168.01,8.3958,168.01
"2018-12-18",169.78,173.02,169.32,171.5,5.1508,171.5
"2018-12-19",171.59,174.85,167.6,169.25,5.3161,169.25
"2018-12-20",168.39,171.65,167.16,168.41,6.4882,168.41
"2018-12-21",168.25,169.63,159.42,160.05,8.96,160.05
"2018-12-24",159,160,154.31,156.35,3.7835,156.35
"2018-12-26",157,163.11,151.7,162.93,7.0547,162.93
"2018-12-27",160.12,165.41,159.02,165.41,4.973,165.41
"2018-12-28",165.64,165.95,162.02,163.03,4.1105,163.03
"2018-12-31",163.78,167.12,163.78,167.05,4.55,167.05
"2019-01-02",164.33,172.25,163.35,172.03,3.9994,172.03
"2019-01-03",170.66,171.77,168.29,169.51,4.0602,169.51
"2019-01-04",172.99,176,171.1,175.05,3.7883,175.05
"2019-01-07",175.23,177.83,172.27,176.02,3.1521,176.02
"2019-01-08",177.78,178.1,172.9,175.37,2.6927,175.37
"2019-01-09",176.1,177.69,174.91,176.47,3.3214,176.47
"2019-01-10",175.66,178.07,175.5,176,2.8087,176
"2019-01-11",175.1,177.04,172.42,176.93,3.1827,176.93
"2019-01-14",174.52,179.54,174.1,178.72,3.3617,178.72
"2019-01-15",178.32,179.99,176.4,179.91,2.9118,179.91
"2019-01-16",187,198.15,185.6,197.08,15.1942,197.08
"2019-01-17",195.95,199.8,192.83,199.09,8.177,199.09
"2019-01-18",200.38,203,196.91,202.54,5.6509,202.54
"2019-01-22",200.5,201.47,195.92,197.68,4.6485,197.68
"2019-01-23",197.55,198.09,194.53,196.9,3.4107,196.9
"2019-01-24",196.22,199.68,195.76,197.8,2.6318,197.8
"2019-01-25",199.83,201.19,199.42,200.74,3.275,200.74
"2019-01-28",197.99,200.07,197.1,199.72,2.3696,199.72
"2019-01-29",199,201.97,197.87,200.5,2.6941,200.5
"2019-01-30",200.9,203.29,199.65,202.48,2.7733,202.48
"2019-01-31",200.1,202.35,196.95,198.01,5.6045,198.01
"2019-02-01",198,199.64,196.54,196.54,3.1742,196.54
"2019-02-04",195.8,197.76,194.79,197.72,2.4002,197.72
"2019-02-05",198.12,199.33,196.86,198.01,2.601,198.01
"2019-02-06",197.18,199.06,195.83,196.62,2.0631,196.62
"2019-02-07",195.28,195.88,191.05,193.07,2.9488,193.07
"2019-02-08",191.72,192.62,188.22,191.67,2.7575,191.67
"2019-02-11",192.88,193.32,191.07,191.33,2.0565,191.33
